sale_id,date_id,product_id,customer_id,salesperson_id,location_id,units_sold,unit_price,revenue,discount_type,payment_method,delivery_status,return_status,return_amount
21,4,P005,C1717,SP01,L02,34,213.23,1330.26432,Seasonal,Cash,Cancelled,Partially Returned,1.34
22,4,P006,C0711,SP01,L01,10,15.5,812.154,Seasonal,Credit Card,Pending,Returned,110.28
23,5,P001,C1837,SP05,L04,45,318.84,1478.9088,Seasonal,Online Payment,Delivered,Returned,313.91
24,5,P002,C1925,SP04,L03,40,382.72,1109.66112,Promotional,Installment,Cancelled,Returned,308.61
25,6,P001,C0252,SP02,L01,27,169.61,723.1979999999999,Seasonal,Credit Card,Delivered,Partially Returned,201.06
26,6,P001,C0216,SP04,L07,9,348.5,619.6428,Bulk Purchase,Cash,Pending,Returned,43.33
27,6,P002,C1096,SP02,L01,31,61.13,755.9776,Promotional,Installment,Cancelled,Partially Returned,446.14
28,6,P002,C1515,SP04,L01,39,105.37,3469.829999999999,Seasonal,Credit Card,Delivered,No Returns,370.38
29,6,P003,C0774,SP02,L03,25,459.27,4172.8608,No Discount,Online Payment,Cancelled,Returned,394.46
30,6,P003,C0672,SP06,L03,2,496.91,2423.7792,Bulk Purchase,Cash,Cancelled,No Returns,140.53
31,6,P004,C0228,SP01,L01,39,227.43,1378.272,No Discount,Online Payment,Cancelled,No Returns,346.42
32,6,P006,C1044,SP04,L06,29,435.15,3426.696,Promotional,Credit Card,Cancelled,Returned,471.1
33,6,P006,C1438,SP05,L05,20,229.21,1354.60416,Bulk Purchase,Cash,Delivered,No Returns,10.58
34,7,P001,C0904,SP03,L03,29,155.34,1603.0872,Promotional,Online Payment,Pending,No Returns,490.62
35,7,P002,C1876,SP05,L02,32,203.23,1287.98208,Promotional,Installment,Cancelled,Partially Returned,89.19
36,7,P003,C2124,SP01,L08,15,322.61,3829.41,Bulk Purchase,Cash,Pending,No Returns,114.92
37,7,P003,C0994,SP01,L01,36,226.51,1626.1728,Seasonal,Cash,Cancelled,Returned,381.35
38,7,P004,C0133,SP03,L06,5,78.47,3752.928,Promotional,Online Payment,Cancelled,Returned,499.26
39,7,P005,C0926,SP03,L02,47,51.91,254.9568,Promotional,Online Payment,Pending,No Returns,444.87
40,7,P006,C1381,SP02,L10,42,320.17,3984.4672,Seasonal,Installment,Delivered,Partially Returned,446.88
41,8,P001,C0046,SP02,L03,4,286.25,3197.6856,Seasonal,Credit Card,Pending,Returned,151.15
42,8,P002,C0965,SP06,L08,44,97.01,2566.188,Bulk Purchase,Installment,Cancelled,Partially Returned,246.72
43,8,P004,C0271,SP01,L05,43,322.11,2673.7893,Promotional,Credit Card,Pending,Partially Returned,67.62
44,8,P004,C1457,SP02,L08,37,60.77,5171.1075,Seasonal,Credit Card,Delivered,No Returns,334.28
45,9,P001,C0139,SP03,L05,26,207.6,710.97936,Bulk Purchase,Cash,Cancelled,Returned,294.3
46,9,P002,C2137,SP05,L06,44,238.66,3685.1328,No Discount,Cash,Cancelled,Partially Returned,103.65
47,9,P002,C1172,SP06,L11,23,133.7,1385.3696,Bulk Purchase,Installment,Cancelled,No Returns,253.73
48,9,P003,C0742,SP06,L08,10,326.66,1418.67,Seasonal,Online Payment,Pending,Partially Returned,7.4
49,9,P004,C1814,SP01,L06,12,413.39,4866.528,Seasonal,Online Payment,Delivered,Partially Returned,316.56
50,9,P004,C1790,SP06,L09,42,91.49,1301.8368,Seasonal,Cash,Delivered,Returned,142.34
51,10,P001,C0203,SP01,L09,14,222.65,889.4688000000001,Seasonal,Credit Card,Delivered,Returned,444.21
52,10,P002,C1295,SP04,L05,2,240.41,1940.484,Seasonal,Online Payment,Delivered,Partially Returned,273.14
53,10,P002,C0056,SP06,L04,46,67.25,1389.636,Promotional,Credit Card,Delivered,Returned,417.43
54,10,P004,C1413,SP06,L06,3,326.45,2870.208,No Discount,Credit Card,Cancelled,Returned,335.05
55,10,P005,C1986,SP05,L01,45,354.66,3150.882,Bulk Purchase,Credit Card,Delivered,Partially Returned,336.96
56,10,P006,C2160,SP03,L08,3,104.76,4722.678,No Discount,Cash,Cancelled,Returned,87.7
57,10,P006,C0166,SP04,L06,13,117.85,2841.1392,Promotional,Installment,Pending,No Returns,287.08
58,11,P001,C1094,SP03,L04,47,191.27,2647.0152,Seasonal,Credit Card,Pending,Returned,409.19
59,11,P002,C2102,SP02,L06,24,24.2,2634.8544,Promotional,Cash,Pending,No Returns,286.66
60,11,P002,C0139,SP04,L06,36,73.58,2200.128,Seasonal,Installment,Pending,No Returns,229.4
61,11,P002,C1938,SP06,L07,19,107.83,1128.9432,Promotional,Installment,Pending,No Returns,299.43
62,11,P003,C0303,SP04,L06,19,468.34,3956.256,Promotional,Credit Card,Delivered,No Returns,420.09
63,11,P005,C0864,SP01,L07,5,114.08,2555.742,Seasonal,Online Payment,Pending,No Returns,303.93
64,11,P006,C1726,SP01,L08,27,44.99,2735.532000000001,Promotional,Installment,Delivered,Returned,307.01
65,11,P006,C0686,SP04,L10,11,56.4,4036.1664,Bulk Purchase,Cash,Cancelled,Returned,485.54
66,11,P006,C1974,SP05,L05,29,321.99,2103.1647,No Discount,Credit Card,Pending,Returned,428.89
67,12,P004,C2080,SP01,L11,36,315.34,2006.784,No Discount,Credit Card,Delivered,No Returns,271.87
68,12,P006,C0006,SP03,L11,2,473.03,5484.8,No Discount,Online Payment,Pending,Returned,346.28
69,13,P001,C1302,SP02,L03,1,324.95,4293.7776,Promotional,Online Payment,Delivered,Partially Returned,251.06
70,13,P003,C0882,SP05,L08,11,417.87,3155.148,Promotional,Installment,Cancelled,No Returns,169.75
71,13,P004,C0728,SP06,L08,8,422.8,2453.166,Bulk Purchase,Cash,Delivered,Returned,3.04
72,13,P005,C0091,SP05,L01,47,43.45,845.3199999999999,Seasonal,Online Payment,Delivered,Partially Returned,210.27
73,13,P006,C0104,SP01,L01,46,455.66,1412.4992,Promotional,Installment,Pending,No Returns,484.8
74,13,P006,C1390,SP04,L06,28,300.42,1802.688,Promotional,Online Payment,Delivered,Partially Returned,446.35
75,14,P002,C1488,SP01,L12,5,158.07,1169.77408,Seasonal,Installment,Delivered,No Returns,157.72
76,14,P002,C0536,SP02,L01,18,79.52,1737.792,No Discount,Credit Card,Cancelled,Partially Returned,129.04
77,14,P005,C0551,SP01,L05,39,178.03,1361.13432,Promotional,Cash,Cancelled,Returned,213.67
78,14,P005,C1226,SP03,L08,22,147.26,453.096,Promotional,Installment,Cancelled,Returned,139.64
79,15,P003,C2100,SP02,L03,1,107.49,3571.98336,No Discount,Cash,Delivered,No Returns,86.57
80,16,P001,C0596,SP01,L01,46,439.61,372.5568,No Discount,Cash,Delivered,Returned,36.19
81,16,P001,C0060,SP06,L06,17,88.91,2085.8688,Seasonal,Cash,Delivered,Returned,202.47
82,16,P005,C1059,SP04,L02,22,364.34,2099.9104,Promotional,Online Payment,Pending,Returned,101.31
83,16,P005,C0219,SP05,L09,20,156.99,823.2048000000001,Seasonal,Credit Card,Cancelled,Partially Returned,344.84
84,16,P006,C1609,SP05,L01,14,80.28,2605.4112,Seasonal,Cash,Pending,Partially Returned,33.12
85,17,P001,C1840,SP01,L03,3,47.88,2094.8544,Seasonal,Cash,Pending,Returned,331.47
86,17,P005,C0846,SP04,L11,39,44.63,914.6112,Promotional,Installment,Pending,No Returns,398.33
87,17,P005,C0567,SP05,L03,26,157.11,1626.38928,Promotional,Cash,Delivered,Returned,459.02
88,17,P006,C0260,SP06,L09,38,446.0,453.9110400000001,Bulk Purchase,Installment,Delivered,Partially Returned,323.98
89,18,P001,C0033,SP06,L12,45,356.93,2018.6752,Seasonal,Online Payment,Cancelled,Returned,47.63
90,18,P004,C1325,SP02,L06,8,168.53,5611.392,No Discount,Cash,Delivered,Returned,203.14
91,18,P004,C1303,SP05,L03,17,128.79,4060.8216,No Discount,Credit Card,Delivered,No Returns,393.53
92,18,P004,C0275,SP05,L08,40,485.18,4309.559999999999,Seasonal,Online Payment,Cancelled,Returned,71.76
93,19,P001,C0284,SP02,L01,49,461.03,839.7983999999999,Bulk Purchase,Cash,Delivered,Returned,460.31
94,19,P002,C1495,SP03,L01,37,121.76,574.448,Seasonal,Online Payment,Pending,No Returns,339.9
95,19,P004,C0188,SP04,L11,46,320.93,1431.2064,Bulk Purchase,Cash,Cancelled,Partially Returned,433.84
96,19,P006,C0190,SP01,L06,42,393.2,741.024,No Discount,Credit Card,Delivered,Partially Returned,356.27
97,20,P003,C0477,SP01,L01,7,430.56,415.52,Seasonal,Online Payment,Cancelled,Partially Returned,20.94
98,20,P004,C0521,SP01,L09,38,467.04,3707.880000000001,No Discount,Credit Card,Cancelled,Returned,366.69
99,20,P004,C1252,SP03,L01,37,410.56,3400.936,Bulk Purchase,Online Payment,Pending,No Returns,198.78
100,20,P004,C1512,SP04,L10,1,80.48,2642.136,Seasonal,Credit Card,Delivered,No Returns,422.24
101,20,P004,C0917,SP05,L08,26,470.66,2722.536,Bulk Purchase,Installment,Delivered,No Returns,434.76
102,20,P005,C1726,SP03,L12,27,380.48,1065.5736,Promotional,Credit Card,Pending,Partially Returned,490.33
103,20,P006,C1813,SP05,L04,31,267.1,2715.4656,Bulk Purchase,Online Payment,Cancelled,No Returns,413.68
104,21,P002,C0896,SP03,L09,44,73.21,232.86912,Seasonal,Cash,Delivered,Partially Returned,447.78
105,21,P003,C0560,SP01,L03,7,450.24,2321.136,Bulk Purchase,Cash,Cancelled,No Returns,289.05
106,21,P004,C0593,SP04,L03,45,340.14,1625.98752,Bulk Purchase,Installment,Pending,Partially Returned,249.28
107,21,P005,C0272,SP02,L12,49,97.77,246.9216,Promotional,Credit Card,Cancelled,No Returns,428.15
108,21,P005,C1991,SP03,L09,20,222.64,1671.12,Promotional,Credit Card,Pending,Partially Returned,315.21
109,21,P006,C0026,SP04,L11,28,353.91,4229.712,No Discount,Credit Card,Pending,No Returns,304.35
110,22,P004,C0352,SP01,L02,43,170.1,1638.52416,No Discount,Cash,Pending,Partially Returned,287.46
111,22,P004,C0840,SP06,L06,43,67.04,600.84,Seasonal,Credit Card,Delivered,Returned,278.94
112,22,P005,C0952,SP03,L12,12,144.45,4059.0288,No Discount,Credit Card,Cancelled,No Returns,261.62
113,23,P001,C0231,SP01,L03,6,286.92,6291.367200000001,Bulk Purchase,Online Payment,Cancelled,Returned,356.19
114,23,P002,C1048,SP04,L07,30,374.64,1942.3215,Promotional,Credit Card,Cancelled,Returned,34.72
115,23,P005,C0392,SP01,L02,26,461.71,1993.152,Promotional,Online Payment,Delivered,Partially Returned,475.19
116,23,P005,C1673,SP01,L01,40,200.88,963.2672,Bulk Purchase,Installment,Cancelled,Returned,447.72
117,24,P002,C0703,SP01,L01,8,265.28,3328.92,Bulk Purchase,Credit Card,Pending,Partially Returned,253.38
118,24,P005,C0435,SP05,L03,21,255.77,153.67968,Seasonal,Installment,Cancelled,No Returns,363.94
119,24,P005,C1190,SP05,L05,36,247.28,1391.44096,Bulk Purchase,Installment,Delivered,Partially Returned,111.61
120,24,P005,C2086,SP06,L06,10,497.72,1417.6128,No Discount,Installment,Pending,No Returns,193.67
121,24,P006,C2023,SP01,L04,42,429.72,2787.9228,Promotional,Credit Card,Pending,Returned,397.69
122,25,P001,C1858,SP03,L04,1,95.94,153.04896,No Discount,Installment,Cancelled,Returned,467.6
123,25,P002,C1500,SP06,L03,17,349.75,379.08,Seasonal,Credit Card,Delivered,Returned,18.68
124,25,P003,C0401,SP02,L10,35,321.58,818.5408,No Discount,Installment,Delivered,Returned,99.33
125,25,P004,C0306,SP01,L10,33,332.21,2479.5456,Seasonal,Installment,Pending,Returned,195.68
126,26,P003,C0049,SP03,L11,28,311.17,381.248,Promotional,Online Payment,Pending,No Returns,26.82
127,26,P004,C2028,SP05,L12,23,197.71,2759.32032,Seasonal,Cash,Pending,Returned,393.44
128,26,P005,C1973,SP03,L01,39,208.06,3180.954,Bulk Purchase,Credit Card,Delivered,Partially Returned,40.91
129,26,P006,C0732,SP05,L09,15,130.66,2441.13408,No Discount,Cash,Delivered,Partially Returned,201.09
130,26,P006,C1674,SP06,L07,15,340.23,1177.596,No Discount,Credit Card,Cancelled,Partially Returned,492.95
131,27,P001,C0394,SP03,L02,29,288.88,489.64608,Bulk Purchase,Installment,Pending,Returned,366.82
132,27,P002,C0843,SP02,L08,36,149.94,6492.42,Bulk Purchase,Online Payment,Delivered,No Returns,464.27
133,27,P003,C1169,SP03,L03,47,313.78,1307.88432,Seasonal,Cash,Delivered,No Returns,151.3
134,27,P006,C1389,SP04,L09,3,362.33,935.57376,Seasonal,Cash,Pending,No Returns,486.16
135,27,P006,C0838,SP06,L01,23,366.6,1956.6288,Seasonal,Cash,Pending,Partially Returned,485.46
136,28,P001,C1579,SP02,L06,37,417.61,3468.192,Promotional,Online Payment,Cancelled,No Returns,304.19
137,28,P001,C0407,SP04,L12,19,406.7,794.39232,Bulk Purchase,Installment,Pending,No Returns,255.9
138,28,P001,C2157,SP05,L11,2,400.39,2908.8,Seasonal,Cash,Cancelled,No Returns,472.2
139,28,P001,C1973,SP06,L12,34,184.08,3045.86688,Promotional,Cash,Cancelled,Returned,180.53
140,28,P003,C0856,SP05,L01,21,417.84,1601.544,Promotional,Credit Card,Delivered,Partially Returned,462.8
141,28,P004,C0555,SP01,L12,1,284.95,1497.2784,Bulk Purchase,Credit Card,Delivered,Returned,87.97
142,28,P006,C0927,SP02,L05,42,227.42,1003.35872,Promotional,Installment,Delivered,Returned,456.52
143,29,P001,C1567,SP02,L05,12,171.0,280.0616,Promotional,Installment,Delivered,No Returns,270.8
144,29,P001,C1869,SP02,L11,45,23.96,3343.168,Promotional,Online Payment,Delivered,Partially Returned,465.01
145,29,P001,C0931,SP05,L06,36,395.47,568.32,Seasonal,Online Payment,Delivered,Partially Returned,41.19
146,29,P002,C1270,SP03,L04,33,406.53,698.0601600000001,Bulk Purchase,Installment,Pending,No Returns,233.79
147,29,P004,C0598,SP03,L08,36,441.47,4912.11,No Discount,Online Payment,Pending,Partially Returned,494.85
148,29,P005,C0189,SP02,L03,23,10.5,2002.4496,Seasonal,Online Payment,Pending,Returned,491.71
149,29,P006,C0314,SP06,L07,44,16.48,2097.7992,Promotional,Cash,Pending,Returned,370.18
150,30,P003,C2151,SP03,L11,10,385.4,4758.4000000000015,Promotional,Online Payment,Delivered,Partially Returned,152.56
151,30,P004,C1701,SP06,L10,26,67.46,11115.664,Seasonal,Online Payment,Cancelled,Partially Returned,272.32
152,31,P001,C0820,SP01,L12,2,345.58,2336.89344,Seasonal,Cash,Cancelled,Returned,71.07
153,31,P001,C0030,SP01,L06,48,412.42,1699.872,Promotional,Online Payment,Cancelled,Partially Returned,40.72
154,31,P001,C0836,SP02,L11,27,324.32,2911.872,Promotional,Online Payment,Pending,No Returns,74.04
155,31,P002,C2003,SP03,L04,45,175.45,1538.50752,Seasonal,Cash,Cancelled,Partially Returned,183.28
156,31,P002,C0266,SP04,L10,2,233.08,6482.616,Seasonal,Credit Card,Delivered,Returned,325.69
157,31,P003,C1093,SP04,L06,17,480.19,6047.712,Bulk Purchase,Credit Card,Pending,No Returns,254.41
158,31,P006,C1465,SP04,L12,44,476.22,734.6175999999999,No Discount,Online Payment,Delivered,Returned,310.44
159,31,P006,C1463,SP06,L12,26,315.48,4045.8912,Promotional,Online Payment,Cancelled,Returned,135.35
160,32,P003,C0153,SP06,L08,11,402.79,3350.052000000001,Bulk Purchase,Installment,Pending,Partially Returned,326.96
161,32,P003,C0133,SP06,L05,46,224.83,302.1291,Bulk Purchase,Credit Card,Pending,No Returns,241.16
162,32,P006,C1030,SP02,L09,1,348.2,912.97536,Promotional,Cash,Cancelled,Partially Returned,229.97
163,32,P006,C0044,SP02,L12,49,95.23,2630.7296,Bulk Purchase,Online Payment,Cancelled,Partially Returned,470.21
164,32,P006,C1107,SP05,L05,13,193.67,520.5018,Promotional,Credit Card,Delivered,Returned,124.25
165,33,P002,C0787,SP06,L04,37,17.73,1726.7256,Seasonal,Credit Card,Pending,No Returns,375.49
166,33,P004,C1540,SP05,L04,2,119.42,2910.654,Bulk Purchase,Credit Card,Delivered,Partially Returned,278.54
167,33,P005,C0785,SP03,L02,19,291.22,2582.3616,Promotional,Online Payment,Pending,No Returns,352.32
168,33,P005,C1380,SP05,L12,33,61.57,4007.0496,Bulk Purchase,Credit Card,Delivered,Partially Returned,227.05
169,33,P005,C0357,SP06,L03,20,485.79,2223.70272,Bulk Purchase,Installment,Pending,Returned,362.39
170,34,P002,C2046,SP06,L01,40,99.57,3755.528,No Discount,Online Payment,Cancelled,Returned,181.43
171,34,P003,C1375,SP06,L04,44,487.6,1885.0644,Promotional,Credit Card,Pending,No Returns,177.58
172,34,P004,C1736,SP03,L02,25,148.29,114.52672,Bulk Purchase,Installment,Delivered,No Returns,327.63
173,34,P004,C0821,SP05,L05,35,352.01,2546.908,Seasonal,Online Payment,Pending,Partially Returned,278.43
174,34,P005,C1955,SP06,L05,48,479.38,591.2815999999999,No Discount,Online Payment,Cancelled,No Returns,230.86
175,34,P005,C2077,SP06,L06,33,226.56,5042.937599999999,Promotional,Cash,Delivered,No Returns,351.03
176,35,P001,C1757,SP02,L06,1,198.92,1841.8944,Promotional,Installment,Pending,Partially Returned,71.5
177,35,P002,C0966,SP04,L07,38,421.03,2417.0265,Bulk Purchase,Credit Card,Pending,Returned,310.48
178,35,P003,C0884,SP05,L04,29,214.25,978.68736,Promotional,Cash,Cancelled,Partially Returned,476.41
179,35,P003,C1843,SP06,L10,45,45.69,4460.82,No Discount,Credit Card,Cancelled,No Returns,239.24
180,35,P005,C1309,SP05,L05,24,456.77,2154.47232,Seasonal,Cash,Delivered,Returned,459.34
181,35,P006,C1495,SP02,L12,44,185.88,1120.13952,Promotional,Installment,Cancelled,Partially Returned,107.83
182,36,P002,C0632,SP05,L08,38,236.49,2855.655000000001,No Discount,Credit Card,Cancelled,No Returns,499.07
183,36,P005,C0110,SP03,L10,47,418.28,4002.7456,Promotional,Installment,Pending,Partially Returned,154.06
184,36,P005,C1500,SP06,L04,47,263.82,376.95456,Bulk Purchase,Cash,Cancelled,Returned,208.43
185,36,P005,C0853,SP06,L10,1,156.87,1626.1056,Promotional,Cash,Cancelled,Partially Returned,295.84
186,36,P006,C0387,SP06,L05,40,411.91,1225.72632,Promotional,Cash,Pending,Returned,201.16
187,37,P001,C1183,SP01,L12,14,266.36,1594.4232,Seasonal,Credit Card,Cancelled,Partially Returned,119.55
188,37,P005,C0739,SP03,L07,31,300.46,2084.544,No Discount,Cash,Cancelled,Returned,122.56
189,38,P001,C1754,SP04,L01,26,123.53,1840.608,Seasonal,Online Payment,Delivered,Returned,37.99
190,38,P001,C1817,SP04,L11,31,221.07,4712.256,No Discount,Online Payment,Cancelled,Partially Returned,227.74
191,38,P004,C1898,SP06,L07,43,366.01,2227.4532,No Discount,Cash,Cancelled,Returned,69.48
192,38,P006,C1204,SP03,L04,20,274.43,2431.45152,Seasonal,Cash,Pending,No Returns,338.34
193,39,P003,C1629,SP03,L02,17,325.95,1431.0464,Seasonal,Online Payment,Cancelled,No Returns,275.82
194,39,P004,C0585,SP04,L09,38,320.94,2629.5984,No Discount,Credit Card,Pending,Partially Returned,327.81
195,40,P003,C1872,SP01,L01,42,180.5,2080.96,No Discount,Online Payment,Delivered,Partially Returned,186.24
196,40,P004,C0825,SP05,L03,19,121.58,142.89696,Seasonal,Installment,Cancelled,No Returns,111.89
197,40,P004,C0937,SP06,L05,49,274.76,1432.22352,No Discount,Cash,Cancelled,No Returns,256.7
198,40,P005,C0093,SP06,L09,21,142.3,6398.867200000001,Promotional,Online Payment,Cancelled,Partially Returned,261.52
199,40,P005,C1255,SP06,L05,30,298.78,2679.1947,No Discount,Credit Card,Cancelled,No Returns,193.79
200,41,P003,C1356,SP01,L06,3,381.96,1561.608,Bulk Purchase,Credit Card,Cancelled,Returned,419.95
201,41,P003,C0273,SP04,L10,21,426.59,793.968,Bulk Purchase,Cash,Cancelled,Returned,309.04
202,41,P006,C1984,SP01,L06,11,69.39,433.152,Bulk Purchase,Credit Card,Pending,Returned,44.66
203,41,P006,C1414,SP02,L12,21,349.43,4791.008000000001,Bulk Purchase,Online Payment,Pending,No Returns,200.61
204,41,P006,C1195,SP03,L05,41,66.7,707.1573599999999,Promotional,Cash,Cancelled,No Returns,321.55
205,41,P006,C2057,SP06,L10,6,237.1,8822.576,Bulk Purchase,Online Payment,Delivered,Partially Returned,141.14
206,42,P001,C0438,SP02,L09,19,21.22,5123.6064,No Discount,Credit Card,Delivered,No Returns,412.13
207,42,P004,C1508,SP02,L11,34,263.0,1258.3296,Bulk Purchase,Cash,Cancelled,No Returns,150.12
208,42,P005,C1058,SP03,L08,2,442.5,1753.416,Bulk Purchase,Installment,Delivered,No Returns,54.87
209,43,P001,C1120,SP04,L09,9,395.07,1407.2256,Promotional,Cash,Pending,Returned,482.94
210,43,P005,C1619,SP04,L05,20,309.38,1158.5392,Bulk Purchase,Online Payment,Cancelled,Returned,347.15
211,43,P006,C0180,SP01,L01,11,217.12,3144.489599999999,Seasonal,Cash,Cancelled,Returned,304.7
212,43,P006,C1166,SP02,L02,16,336.82,1287.5072,Bulk Purchase,Online Payment,Delivered,Returned,162.66
213,43,P006,C2035,SP04,L09,22,263.34,291.34336,Bulk Purchase,Installment,Delivered,Partially Returned,132.53
214,43,P006,C1594,SP04,L06,46,336.82,4167.72,Seasonal,Credit Card,Delivered,No Returns,488.91
215,44,P003,C0660,SP03,L09,40,341.81,1547.80032,No Discount,Cash,Pending,Partially Returned,498.77
216,44,P004,C1589,SP01,L07,18,338.78,682.9200000000001,No Discount,Credit Card,Cancelled,Partially Returned,376.91
217,44,P004,C0473,SP04,L06,42,336.23,1160.1792,Seasonal,Cash,Cancelled,Returned,126.64
218,44,P006,C0857,SP02,L01,36,355.59,657.2719999999999,Seasonal,Online Payment,Pending,No Returns,187.23
219,44,P006,C0804,SP06,L10,31,230.83,3664.836,Promotional,Credit Card,Pending,Returned,263.81
220,45,P001,C1193,SP01,L10,27,322.44,6774.347999999999,No Discount,Credit Card,Pending,No Returns,61.37
221,45,P001,C1376,SP06,L08,48,162.54,438.4125000000001,Bulk Purchase,Credit Card,Cancelled,Partially Returned,393.69
222,45,P002,C0215,SP02,L04,26,332.33,100.63872,No Discount,Installment,Pending,No Returns,62.82
223,45,P004,C0626,SP02,L10,35,485.57,1412.88,No Discount,Credit Card,Cancelled,No Returns,437.49
224,45,P006,C0518,SP05,L02,35,312.28,666.69568,No Discount,Installment,Pending,Returned,279.53
225,46,P001,C0808,SP01,L05,38,88.54,649.6671999999999,Bulk Purchase,Online Payment,Delivered,No Returns,343.39
226,46,P001,C0226,SP05,L09,48,129.39,2537.90592,Bulk Purchase,Cash,Delivered,Returned,274.49
227,46,P002,C0504,SP06,L06,23,388.91,7180.991999999999,Seasonal,Online Payment,Delivered,No Returns,209.52
228,46,P004,C2067,SP03,L01,12,475.0,3060.691199999999,Bulk Purchase,Cash,Pending,Returned,499.95
229,46,P004,C2046,SP03,L01,38,172.82,3935.848,Seasonal,Online Payment,Pending,Partially Returned,419.22
230,46,P004,C2039,SP04,L05,16,378.3,767.5668,Seasonal,Online Payment,Pending,Partially Returned,347.87
231,46,P005,C1652,SP03,L05,22,304.33,550.4408,Bulk Purchase,Online Payment,Cancelled,Partially Returned,498.46
232,46,P005,C0600,SP04,L06,20,149.97,3358.5984,Bulk Purchase,Cash,Delivered,Partially Returned,498.98
233,46,P005,C2144,SP05,L10,49,176.76,5632.636799999999,Seasonal,Cash,Delivered,No Returns,152.54
234,46,P006,C0165,SP01,L11,22,158.79,2247.36,Bulk Purchase,Online Payment,Pending,Returned,244.86
235,46,P006,C1097,SP04,L10,45,199.67,2214.7776,No Discount,Cash,Pending,Returned,20.59
236,47,P002,C2059,SP01,L12,18,362.99,2516.7072,No Discount,Cash,Delivered,Returned,377.26
237,47,P002,C0774,SP03,L08,41,196.39,948.3480000000002,No Discount,Installment,Cancelled,No Returns,480.96
238,47,P002,C1695,SP04,L12,5,326.44,1399.30944,Seasonal,Cash,Pending,No Returns,183.56
239,47,P002,C1869,SP06,L12,10,187.84,919.99104,Seasonal,Cash,Pending,Returned,131.62
240,47,P003,C0840,SP02,L10,44,263.74,9520.0,Promotional,Online Payment,Pending,Partially Returned,216.81
241,47,P003,C2095,SP03,L07,36,112.5,1352.7864,No Discount,Cash,Pending,No Returns,196.24
242,47,P006,C1008,SP05,L12,28,331.79,1240.2112,Promotional,Online Payment,Delivered,No Returns,405.43
243,48,P001,C2107,SP02,L04,34,246.09,1612.27584,Seasonal,Installment,Pending,Partially Returned,265.68
244,48,P002,C0252,SP05,L05,49,471.52,666.07632,Promotional,Installment,Cancelled,Returned,276.42
245,48,P003,C1286,SP02,L09,39,229.82,2543.4816,No Discount,Cash,Pending,Partially Returned,409.7
246,48,P005,C1797,SP05,L05,35,420.5,991.8272,Promotional,Installment,Delivered,Returned,170.19
247,48,P005,C0022,SP06,L04,46,163.53,1392.47424,Promotional,Cash,Delivered,Partially Returned,165.13
248,49,P001,C0118,SP03,L04,14,250.27,4042.3536,Bulk Purchase,Online Payment,Pending,No Returns,364.44
249,49,P002,C1241,SP05,L10,24,444.43,2149.4592,Bulk Purchase,Cash,Cancelled,No Returns,220.14
250,49,P005,C1882,SP02,L03,46,353.0,500.2884,No Discount,Credit Card,Delivered,No Returns,60.81
