customer_id,customer_name,customer_type
C0121,Customer 1119,Returning
C0122,Customer 112,Returning
C0123,Customer 1120,Returning
C0124,Customer 1122,Returning
C0125,Customer 1123,VIP
C0126,Customer 1124,Returning
C0127,Customer 1125,New
C0128,Customer 1126,New
C0129,Customer 1127,Returning
C0130,Customer 1128,New
C0131,Customer 1129,New
C0132,Customer 113,Returning
C0133,Customer 1130,Returning
C0134,Customer 1131,VIP
C0135,Customer 1132,Returning
C0136,Customer 1133,New
C0137,Customer 1134,Returning
C0138,Customer 1135,New
C0139,Customer 1136,Returning
C0140,Customer 1137,Returning
C0141,Customer 1138,VIP
C0142,Customer 114,New
C0143,Customer 1140,Returning
C0144,Customer 1141,VIP
C0145,Customer 1142,New
C0146,Customer 1143,New
C0147,Customer 1144,VIP
C0148,Customer 1145,VIP
C0149,Customer 1146,VIP
C0150,Customer 1147,New
C0151,Customer 1148,VIP
C0152,Customer 115,New
C0153,Customer 1150,Returning
C0154,Customer 1151,VIP
C0155,Customer 1152,New
C0156,Customer 1154,Returning
C0157,Customer 1155,New
C0158,Customer 1156,New
C0159,Customer 1157,Returning
C0160,Customer 1158,Returning
C0161,Customer 1159,VIP
C0162,Customer 116,VIP
C0163,Customer 1160,Returning
C0164,Customer 1161,New
C0165,Customer 1162,Returning
C0166,Customer 1163,VIP
C0167,Customer 1164,VIP
C0168,Customer 1165,VIP
C0169,Customer 1166,VIP
C0170,Customer 1167,Returning
C0171,Customer 1168,VIP
C0172,Customer 1169,VIP
C0173,Customer 117,Returning
C0174,Customer 1170,New
C0175,Customer 1172,New
C0176,Customer 1173,Returning
C0177,Customer 1174,Returning
C0178,Customer 1175,Returning
C0179,Customer 1176,Returning
C0180,Customer 1177,Returning
C0181,Customer 1178,New
C0182,Customer 118,Returning
C0183,Customer 1180,VIP
C0184,Customer 1181,VIP
C0185,Customer 1182,New
C0186,Customer 1183,VIP
C0187,Customer 1184,Returning
C0188,Customer 1185,VIP
C0189,Customer 1186,Returning
C0190,Customer 1187,New
C0191,Customer 1188,New
C0192,Customer 1189,Returning
C0193,Customer 119,Returning
C0194,Customer 1190,Returning
C0195,Customer 1191,New
C0196,Customer 1192,New
C0197,Customer 1194,New
C0198,Customer 1196,VIP
C0199,Customer 1197,Returning
C0200,Customer 1198,New
C0201,Customer 1199,Returning
C0202,Customer 12,VIP
C0203,Customer 120,New
C0204,Customer 1200,New
C0205,Customer 1201,VIP
C0206,Customer 1202,VIP
C0207,Customer 1203,New
C0208,Customer 1204,VIP
C0209,Customer 1205,Returning
C0210,Customer 1206,Returning
C0211,Customer 1207,VIP
C0212,Customer 1208,Returning
C0213,Customer 1209,VIP
C0214,Customer 121,New
C0215,Customer 1210,New
C0216,Customer 1211,VIP
C0217,Customer 1212,Returning
C0218,Customer 1213,Returning
C0219,Customer 1214,New
C0220,Customer 1215,VIP
C0221,Customer 1216,Returning
C0222,Customer 1217,Returning
C0223,Customer 1218,New
C0224,Customer 1219,VIP
C0225,Customer 122,VIP
C0226,Customer 1221,Returning
C0227,Customer 1222,VIP
C0228,Customer 1223,New
C0229,Customer 1225,New
C0230,Customer 1227,VIP
C0231,Customer 1228,VIP
C0232,Customer 1229,VIP
C0233,Customer 123,New
C0234,Customer 1230,Returning
C0235,Customer 1231,New
C0236,Customer 1232,Returning
C0237,Customer 1233,New
C0238,Customer 1234,VIP
C0239,Customer 1235,VIP
C0240,Customer 1237,Returning
C0241,Customer 1238,New
C0242,Customer 1239,Returning
C0243,Customer 124,New
C0244,Customer 1240,Returning
C0245,Customer 1241,VIP
C0246,Customer 1242,Returning
C0247,Customer 1243,VIP
C0248,Customer 1244,VIP
C0249,Customer 1245,New
C0250,Customer 1246,Returning
C0251,Customer 1247,New
C0252,Customer 1248,VIP
C0253,Customer 1249,Returning
C0254,Customer 125,New
C0255,Customer 1250,VIP
C0256,Customer 1251,New
C0257,Customer 1252,New
C0258,Customer 1253,VIP
C0259,Customer 1254,VIP
C0260,Customer 1255,New
C0261,Customer 1256,VIP
C0262,Customer 1257,Returning
C0263,Customer 1258,New
C0264,Customer 1259,VIP
C0265,Customer 126,New
C0266,Customer 1260,VIP
C0267,Customer 1261,Returning
C0268,Customer 1262,VIP
C0269,Customer 1263,VIP
C0270,Customer 1264,Returning
C0271,Customer 1265,Returning
C0272,Customer 1266,VIP
C0273,Customer 1267,Returning
C0274,Customer 1268,Returning
C0275,Customer 1269,New
C0276,Customer 127,VIP
C0277,Customer 1270,New
C0278,Customer 1271,Returning
C0279,Customer 1272,New
C0280,Customer 1273,Returning
C0281,Customer 1274,Returning
C0282,Customer 1275,VIP
C0283,Customer 1276,VIP
C0284,Customer 1277,VIP
C0285,Customer 1278,Returning
C0286,Customer 1279,Returning
C0287,Customer 128,New
C0288,Customer 1280,VIP
C0289,Customer 1281,Returning
C0290,Customer 1282,Returning
C0291,Customer 1283,New
C0292,Customer 1284,New
C0293,Customer 1285,VIP
C0294,Customer 1286,New
C0295,Customer 1287,New
C0296,Customer 1288,VIP
C0297,Customer 1289,New
C0298,Customer 129,Returning
C0299,Customer 1290,VIP
C0300,Customer 1291,VIP
C0301,Customer 1292,VIP
C0302,Customer 1293,New
C0303,Customer 1294,New
C0304,Customer 1295,New
C0305,Customer 1296,VIP
C0306,Customer 1297,Returning
C0307,Customer 1298,New
C0308,Customer 1299,VIP
C0309,Customer 13,VIP
C0310,Customer 130,New
C0311,Customer 1300,Returning
C0312,Customer 1301,VIP
C0313,Customer 1302,New
C0314,Customer 1303,VIP
C0315,Customer 1304,VIP
C0316,Customer 1305,New
C0317,Customer 1306,New
C0318,Customer 1307,VIP
C0319,Customer 1308,New
C0320,Customer 1309,VIP
C0321,Customer 131,Returning
C0322,Customer 1310,VIP
C0323,Customer 1311,Returning
C0324,Customer 1312,Returning
C0325,Customer 1313,New
C0326,Customer 1314,VIP
C0327,Customer 1315,New
C0328,Customer 1316,Returning
C0329,Customer 1317,New
C0330,Customer 1319,New
C0331,Customer 132,Returning
C0332,Customer 1320,Returning
C0333,Customer 1321,VIP
C0334,Customer 1322,Returning
C0335,Customer 1324,Returning
C0336,Customer 1326,Returning
C0337,Customer 1327,VIP
C0338,Customer 1328,VIP
C0339,Customer 1329,Returning
C0340,Customer 133,VIP
C0341,Customer 1330,Returning
C0342,Customer 1331,Returning
C0343,Customer 1332,Returning
C0344,Customer 1333,New
C0345,Customer 1334,Returning
C0346,Customer 1335,VIP
C0347,Customer 1336,Returning
C0348,Customer 1337,New
C0349,Customer 1338,New
C0350,Customer 1339,New
C0351,Customer 134,Returning
C0352,Customer 1340,VIP
C0353,Customer 1341,New
C0354,Customer 1342,Returning
C0355,Customer 1343,VIP
C0356,Customer 1344,VIP
C0357,Customer 1345,Returning
C0358,Customer 1346,VIP
C0359,Customer 1347,Returning
C0360,Customer 1348,Returning
C0361,Customer 1349,Returning
C0362,Customer 135,New
C0363,Customer 1350,Returning
C0364,Customer 1351,VIP
C0365,Customer 1352,Returning
C0366,Customer 1354,New
C0367,Customer 1355,Returning
C0368,Customer 1356,New
C0369,Customer 1357,New
C0370,Customer 1358,VIP
C0371,Customer 1359,New
C0372,Customer 136,New
C0373,Customer 1361,VIP
C0374,Customer 1362,New
C0375,Customer 1363,VIP
C0376,Customer 1365,VIP
C0377,Customer 1366,VIP
C0378,Customer 1367,Returning
C0379,Customer 1368,Returning
C0380,Customer 1369,VIP
C0381,Customer 137,VIP
C0382,Customer 1370,VIP
C0383,Customer 1371,Returning
C0384,Customer 1372,New
C0385,Customer 1373,New
C0386,Customer 1374,Returning
C0387,Customer 1376,Returning
C0388,Customer 1377,VIP
C0389,Customer 1378,Returning
C0390,Customer 1379,Returning
C0391,Customer 138,VIP
C0392,Customer 1380,New
C0393,Customer 1381,VIP
C0394,Customer 1382,Returning
C0395,Customer 1383,New
C0396,Customer 1385,Returning
C0397,Customer 1386,VIP
C0398,Customer 1387,VIP
C0399,Customer 1388,New
C0400,Customer 1389,New
C0401,Customer 1390,Returning
C0402,Customer 1391,New
C0403,Customer 1392,New
C0404,Customer 1394,New
C0405,Customer 1395,VIP
C0406,Customer 1396,New
C0407,Customer 1397,VIP
C0408,Customer 1398,VIP
C0409,Customer 1399,VIP
C0410,Customer 14,Returning
C0411,Customer 140,New
C0412,Customer 1400,Returning
C0413,Customer 1401,VIP
C0414,Customer 1402,VIP
C0415,Customer 1404,VIP
C0416,Customer 1405,VIP
C0417,Customer 1406,VIP
C0418,Customer 1407,Returning
C0419,Customer 1408,VIP
C0420,Customer 1409,Returning
C0421,Customer 1410,New
C0422,Customer 1411,VIP
C0423,Customer 1412,Returning
C0424,Customer 1413,Returning
C0425,Customer 1414,New
C0426,Customer 1415,New
C0427,Customer 1416,Returning
C0428,Customer 1417,VIP
C0429,Customer 1418,New
C0430,Customer 1419,Returning
C0431,Customer 142,Returning
C0432,Customer 1420,New
C0433,Customer 1421,VIP
C0434,Customer 1422,Returning
C0435,Customer 1423,Returning
C0436,Customer 1424,Returning
C0437,Customer 1425,VIP
C0438,Customer 1426,New
C0439,Customer 1427,New
C0440,Customer 1428,New
C0441,Customer 1429,VIP
C0442,Customer 143,Returning
C0443,Customer 1431,Returning
C0444,Customer 1432,New
C0445,Customer 1433,Returning
C0446,Customer 1434,New
C0447,Customer 1435,Returning
C0448,Customer 1436,New
C0449,Customer 1437,VIP
C0450,Customer 1438,Returning
C0451,Customer 1439,Returning
C0452,Customer 144,New
C0453,Customer 1440,New
C0454,Customer 1441,Returning
C0455,Customer 1442,Returning
C0456,Customer 1444,New
C0457,Customer 1445,VIP
C0458,Customer 1446,VIP
C0459,Customer 1447,New
C0460,Customer 1448,Returning
C0461,Customer 1449,New
C0462,Customer 145,New
C0463,Customer 1450,Returning
C0464,Customer 1451,Returning
C0465,Customer 1452,VIP
C0466,Customer 1453,VIP
C0467,Customer 1454,Returning
C0468,Customer 1455,VIP
C0469,Customer 1456,New
C0470,Customer 1457,Returning
C0471,Customer 1458,Returning
C0472,Customer 1459,Returning
C0473,Customer 146,VIP
C0474,Customer 1460,Returning
C0475,Customer 1461,Returning
C0476,Customer 1462,New
C0477,Customer 1463,VIP
C0478,Customer 1464,Returning
C0479,Customer 1465,Returning
C0480,Customer 1466,New
C0481,Customer 1467,VIP
C0482,Customer 1468,New
C0483,Customer 1469,New
C0484,Customer 147,VIP
C0485,Customer 1470,Returning
C0486,Customer 1471,Returning
C0487,Customer 1472,New
C0488,Customer 1473,VIP
C0489,Customer 1474,New
C0490,Customer 1475,New
C0491,Customer 1477,VIP
C0492,Customer 1478,New
C0493,Customer 1479,Returning
C0494,Customer 148,New
C0495,Customer 1480,Returning
C0496,Customer 1482,New
C0497,Customer 1483,VIP
C0498,Customer 1484,Returning
C0499,Customer 1485,VIP
C0500,Customer 1486,Returning
C0501,Customer 1487,VIP
C0502,Customer 1488,VIP
C0503,Customer 1489,Returning
C0504,Customer 149,Returning
C0505,Customer 1490,VIP
C0506,Customer 1491,VIP
C0507,Customer 1492,Returning
C0508,Customer 1493,VIP
C0509,Customer 1494,Returning
C0510,Customer 1495,Returning
C0511,Customer 1496,Returning
C0512,Customer 1497,Returning
C0513,Customer 1498,Returning
C0514,Customer 1499,New
C0515,Customer 15,Returning
C0516,Customer 150,VIP
C0517,Customer 1500,Returning
C0518,Customer 1501,Returning
C0519,Customer 1502,VIP
C0520,Customer 1503,VIP
C0521,Customer 1504,VIP
C0522,Customer 1505,Returning
C0523,Customer 1506,Returning
C0524,Customer 1507,VIP
C0525,Customer 1508,Returning
C0526,Customer 1509,Returning
C0527,Customer 151,Returning
C0528,Customer 1510,New
C0529,Customer 1511,New
C0530,Customer 1512,New
C0531,Customer 1513,VIP
C0532,Customer 1514,New
C0533,Customer 1515,VIP
C0534,Customer 1516,New
C0535,Customer 1517,VIP
C0536,Customer 1518,Returning
C0537,Customer 1519,New
C0538,Customer 152,VIP
C0539,Customer 1521,Returning
C0540,Customer 1522,VIP
C0541,Customer 1523,VIP
C0542,Customer 1524,VIP
C0543,Customer 1526,Returning
C0544,Customer 1527,VIP
C0545,Customer 1528,VIP
C0546,Customer 1529,VIP
C0547,Customer 153,VIP
C0548,Customer 1530,VIP
C0549,Customer 1531,VIP
C0550,Customer 1532,Returning
C0551,Customer 1533,New
C0552,Customer 1534,Returning
C0553,Customer 1535,VIP
C0554,Customer 1536,Returning
C0555,Customer 1537,Returning
C0556,Customer 1538,Returning
C0557,Customer 1539,Returning
C0558,Customer 1540,VIP
C0559,Customer 1541,Returning
C0560,Customer 1542,New
C0561,Customer 1543,VIP
C0562,Customer 1544,Returning
C0563,Customer 1545,Returning
C0564,Customer 1546,VIP
C0565,Customer 1547,VIP
C0566,Customer 1548,New
C0567,Customer 1549,New
C0568,Customer 155,VIP
C0569,Customer 1550,Returning
C0570,Customer 1551,Returning
C0571,Customer 1552,VIP
C0572,Customer 1553,New
C0573,Customer 1554,New
C0574,Customer 1555,New
C0575,Customer 1556,New
C0576,Customer 1557,VIP
C0577,Customer 1558,Returning
C0578,Customer 156,New
C0579,Customer 1560,New
C0580,Customer 1561,Returning
C0581,Customer 1562,VIP
C0582,Customer 1563,VIP
C0583,Customer 1564,Returning
C0584,Customer 1565,VIP
C0585,Customer 1566,Returning
C0586,Customer 1567,VIP
C0587,Customer 1568,New
C0588,Customer 1569,Returning
C0589,Customer 157,VIP
C0590,Customer 1570,Returning
C0591,Customer 1571,New
C0592,Customer 1572,VIP
C0593,Customer 1573,VIP
C0594,Customer 1574,New
C0595,Customer 1575,Returning
C0596,Customer 1576,VIP
C0597,Customer 1577,Returning
C0598,Customer 1579,Returning
C0599,Customer 158,New
C0600,Customer 1580,VIP
C0601,Customer 1581,Returning
C0602,Customer 1582,Returning
C0603,Customer 1583,New
C0604,Customer 1584,New
C0605,Customer 1585,VIP
C0606,Customer 1586,New
C0607,Customer 1587,Returning
C0608,Customer 1588,Returning
C0609,Customer 1589,New
C0610,Customer 159,Returning
C0611,Customer 1590,New
C0612,Customer 1591,Returning
C0613,Customer 1592,New
C0614,Customer 1593,Returning
C0615,Customer 1594,VIP
C0616,Customer 1595,Returning
C0617,Customer 1596,Returning
C0618,Customer 1597,VIP
C0619,Customer 1598,New
C0620,Customer 1599,Returning
C0621,Customer 16,Returning
C0622,Customer 160,New
C0623,Customer 1600,Returning
C0624,Customer 1601,New
C0625,Customer 1602,VIP
C0626,Customer 1603,Returning
C0627,Customer 1604,VIP
C0628,Customer 1605,VIP
C0629,Customer 1606,VIP
C0630,Customer 1607,New
C0631,Customer 1608,VIP
C0632,Customer 1609,New
C0633,Customer 161,Returning
C0634,Customer 1610,New
C0635,Customer 1611,Returning
C0636,Customer 1612,Returning
C0637,Customer 1613,VIP
C0638,Customer 1614,New
C0639,Customer 1615,New
C0640,Customer 1616,VIP
C0641,Customer 1617,Returning
C0642,Customer 1618,VIP
C0643,Customer 1619,New
C0644,Customer 162,New
C0645,Customer 1620,Returning
C0646,Customer 1621,Returning
C0647,Customer 1622,New
C0648,Customer 1623,Returning
C0649,Customer 1624,Returning
C0650,Customer 1625,Returning
C0651,Customer 1626,New
C0652,Customer 1627,VIP
C0653,Customer 1628,VIP
C0654,Customer 1629,VIP
C0655,Customer 163,VIP
C0656,Customer 1630,VIP
C0657,Customer 1631,VIP
C0658,Customer 1632,New
C0659,Customer 1633,VIP
C0660,Customer 1634,New
C0661,Customer 1635,Returning
C0662,Customer 1636,New
C0663,Customer 1638,New
C0664,Customer 1639,Returning
C0665,Customer 164,New
C0666,Customer 1640,VIP
C0667,Customer 1641,New
C0668,Customer 1642,New
C0669,Customer 1643,New
C0670,Customer 1644,VIP
C0671,Customer 1645,New
C0672,Customer 1647,New
C0673,Customer 1648,VIP
C0674,Customer 1649,New
C0675,Customer 165,VIP
C0676,Customer 1650,VIP
C0677,Customer 1651,New
C0678,Customer 1652,VIP
C0679,Customer 1653,New
C0680,Customer 1654,New
C0681,Customer 1655,New
C0682,Customer 1656,VIP
C0683,Customer 1657,New
C0684,Customer 1658,VIP
C0685,Customer 1659,Returning
C0686,Customer 166,Returning
C0687,Customer 1660,Returning
C0688,Customer 1661,VIP
C0689,Customer 1662,Returning
C0690,Customer 1663,VIP
C0691,Customer 1664,Returning
C0692,Customer 1665,New
C0693,Customer 1666,New
C0694,Customer 1668,VIP
C0695,Customer 1669,Returning
C0696,Customer 167,VIP
C0697,Customer 1670,VIP
C0698,Customer 1671,VIP
C0699,Customer 1672,VIP
C0700,Customer 1673,Returning
C0701,Customer 1674,VIP
C0702,Customer 1675,New
C0703,Customer 1676,New
C0704,Customer 1677,VIP
C0705,Customer 1678,New
C0706,Customer 1679,New
C0707,Customer 168,VIP
C0708,Customer 1680,VIP
C0709,Customer 1681,New
C0710,Customer 1682,New
C0711,Customer 1683,New
C0712,Customer 1685,New
C0713,Customer 1686,New
C0714,Customer 1687,Returning
C0715,Customer 1688,New
C0716,Customer 1689,VIP
C0717,Customer 169,Returning
C0718,Customer 1690,New
C0719,Customer 1691,VIP
C0720,Customer 1692,New
C0721,Customer 1693,New
C0722,Customer 1694,VIP
C0723,Customer 1695,VIP
C0724,Customer 1696,New
C0725,Customer 1697,New
C0726,Customer 1698,Returning
C0727,Customer 1699,New
C0728,Customer 17,VIP
C0729,Customer 170,New
C0730,Customer 1700,VIP
C0731,Customer 1702,VIP
C0732,Customer 1703,Returning
C0733,Customer 1704,New
C0734,Customer 1705,Returning
C0735,Customer 1706,New
C0736,Customer 1707,Returning
C0737,Customer 1708,VIP
C0738,Customer 1709,VIP
C0739,Customer 171,VIP
C0740,Customer 1710,Returning
C0741,Customer 1711,VIP
C0742,Customer 1712,VIP
C0743,Customer 1713,VIP
C0744,Customer 1715,VIP
C0745,Customer 1716,New
C0746,Customer 1717,New
C0747,Customer 1718,New
C0748,Customer 1719,Returning
C0749,Customer 172,New
C0750,Customer 1720,New
C0751,Customer 1721,VIP
C0752,Customer 1722,New
C0753,Customer 1723,Returning
C0754,Customer 1724,New
C0755,Customer 1725,New
C0756,Customer 1726,Returning
C0757,Customer 1727,VIP
C0758,Customer 1728,VIP
C0759,Customer 1729,Returning
C0760,Customer 173,New
C0761,Customer 1730,Returning
C0762,Customer 1731,Returning
C0763,Customer 1732,Returning
C0764,Customer 1733,VIP
C0765,Customer 1734,New
C0766,Customer 1735,VIP
C0767,Customer 1736,Returning
C0768,Customer 1738,VIP
C0769,Customer 1739,Returning
C0770,Customer 174,Returning
C0771,Customer 1740,VIP
C0772,Customer 1741,New
C0773,Customer 1743,Returning
C0774,Customer 1744,VIP
C0775,Customer 1745,Returning
C0776,Customer 1746,Returning
C0777,Customer 1747,New
C0778,Customer 1748,VIP
C0779,Customer 1749,New
C0780,Customer 175,New
C0781,Customer 1750,VIP
C0782,Customer 1751,VIP
C0783,Customer 1752,New
C0784,Customer 1753,Returning
C0785,Customer 1754,New
C0786,Customer 1755,VIP
C0787,Customer 1756,Returning
C0788,Customer 1757,Returning
C0789,Customer 1758,Returning
C0790,Customer 1759,Returning
C0791,Customer 176,Returning
C0792,Customer 1760,New
C0793,Customer 1761,New
C0794,Customer 1762,New
C0795,Customer 1763,Returning
C0796,Customer 1764,New
C0797,Customer 1765,VIP
C0798,Customer 1766,Returning
C0799,Customer 1767,Returning
C0800,Customer 1768,New
C0801,Customer 1769,New
C0802,Customer 177,VIP
C0803,Customer 1770,VIP
C0804,Customer 1771,VIP
C0805,Customer 1772,Returning
C0806,Customer 1773,VIP
C0807,Customer 1774,Returning
C0808,Customer 1775,VIP
C0809,Customer 1776,New
C0810,Customer 1777,Returning
C0811,Customer 1778,New
C0812,Customer 1779,Returning
C0813,Customer 178,VIP
C0814,Customer 1780,VIP
C0815,Customer 1781,Returning
C0816,Customer 1782,Returning
C0817,Customer 1783,VIP
C0818,Customer 1784,VIP
C0819,Customer 1785,VIP
C0820,Customer 1786,Returning
C0821,Customer 1787,VIP
C0822,Customer 1788,VIP
C0823,Customer 1789,VIP
C0824,Customer 179,VIP
C0825,Customer 1790,New
C0826,Customer 1791,VIP
C0827,Customer 1792,VIP
C0828,Customer 1793,VIP
C0829,Customer 1794,New
C0830,Customer 1795,New
C0831,Customer 1796,Returning
C0832,Customer 1797,VIP
C0833,Customer 1798,Returning
C0834,Customer 18,Returning
C0835,Customer 180,New
C0836,Customer 1800,VIP
C0837,Customer 1801,Returning
C0838,Customer 1802,New
C0839,Customer 1803,Returning
C0840,Customer 1804,VIP
C0841,Customer 1805,VIP
C0842,Customer 1806,Returning
C0843,Customer 1807,VIP
C0844,Customer 1808,Returning
C0845,Customer 1809,VIP
C0846,Customer 181,VIP
C0847,Customer 1810,New
C0848,Customer 1811,VIP
C0849,Customer 1812,Returning
C0850,Customer 1813,VIP
C0851,Customer 1814,VIP
C0852,Customer 1815,Returning
C0853,Customer 1816,VIP
C0854,Customer 1817,Returning
C0855,Customer 1818,Returning
C0856,Customer 1819,VIP
C0857,Customer 182,New
C0858,Customer 1820,New
C0859,Customer 1821,New
C0860,Customer 1822,New
C0861,Customer 1823,New
C0862,Customer 1824,New
C0863,Customer 1825,Returning
C0864,Customer 1826,Returning
C0865,Customer 1827,VIP
C0866,Customer 1828,Returning
C0867,Customer 1829,New
C0868,Customer 183,Returning
C0869,Customer 1830,VIP
C0870,Customer 1831,New
C0871,Customer 1832,New
C0872,Customer 1833,VIP
C0873,Customer 1834,Returning
C0874,Customer 1835,New
C0875,Customer 1836,New
C0876,Customer 1837,VIP
C0877,Customer 1838,New
C0878,Customer 1839,New
C0879,Customer 1841,VIP
C0880,Customer 1842,New
C0881,Customer 1843,VIP
C0882,Customer 1844,New
C0883,Customer 1845,VIP
C0884,Customer 1846,New
C0885,Customer 1847,New
C0886,Customer 1848,Returning
C0887,Customer 1849,VIP
C0888,Customer 185,Returning
C0889,Customer 1850,Returning
C0890,Customer 1851,New
C0891,Customer 1852,VIP
C0892,Customer 1853,VIP
C0893,Customer 1854,VIP
C0894,Customer 1855,Returning
C0895,Customer 1856,VIP
C0896,Customer 1857,VIP
C0897,Customer 1858,New
C0898,Customer 1859,New
C0899,Customer 186,Returning
C0900,Customer 1860,VIP
C0901,Customer 1861,Returning
C0902,Customer 1864,VIP
C0903,Customer 1865,Returning
C0904,Customer 1867,VIP
C0905,Customer 1868,VIP
C0906,Customer 1869,New
C0907,Customer 187,Returning
C0908,Customer 1870,Returning
C0909,Customer 1871,Returning
C0910,Customer 1872,New
C0911,Customer 1874,New
C0912,Customer 1875,VIP
C0913,Customer 1876,New
C0914,Customer 1877,New
C0915,Customer 1878,VIP
C0916,Customer 188,VIP
C0917,Customer 1880,VIP
C0918,Customer 1881,Returning
C0919,Customer 1882,VIP
C0920,Customer 1883,VIP
C0921,Customer 1884,VIP
C0922,Customer 1885,New
C0923,Customer 1887,VIP
C0924,Customer 1888,New
C0925,Customer 1889,Returning
C0926,Customer 189,Returning
C0927,Customer 1890,VIP
C0928,Customer 1891,VIP
C0929,Customer 1892,Returning
C0930,Customer 1893,New
C0931,Customer 1894,New
C0932,Customer 1895,VIP
C0933,Customer 1896,New
C0934,Customer 1897,Returning
C0935,Customer 1898,New
C0936,Customer 1899,VIP
C0937,Customer 19,New
C0938,Customer 190,Returning
C0939,Customer 1900,VIP
C0940,Customer 1901,VIP
C0941,Customer 1902,New
C0942,Customer 1904,VIP
C0943,Customer 1906,Returning
C0944,Customer 1907,VIP
C0945,Customer 1908,VIP
C0946,Customer 1909,Returning
C0947,Customer 191,VIP
C0948,Customer 1910,VIP
C0949,Customer 1911,Returning
C0950,Customer 1912,VIP
C0951,Customer 1913,VIP
C0952,Customer 1914,New
C0953,Customer 1915,New
C0954,Customer 1916,New
C0955,Customer 1917,Returning
C0956,Customer 1918,VIP
C0957,Customer 192,New
C0958,Customer 1920,Returning
C0959,Customer 1921,VIP
C0960,Customer 1922,New
C0961,Customer 1923,Returning
C0962,Customer 1924,New
C0963,Customer 1925,Returning
C0964,Customer 1926,Returning
C0965,Customer 1927,New
C0966,Customer 1928,Returning
C0967,Customer 1929,Returning
C0968,Customer 193,VIP
C0969,Customer 1930,Returning
C0970,Customer 1931,New
C0971,Customer 1932,VIP
C0972,Customer 1933,Returning
C0973,Customer 1934,Returning
C0974,Customer 1935,VIP
C0975,Customer 1936,Returning
C0976,Customer 1937,Returning
C0977,Customer 1938,VIP
C0978,Customer 1939,VIP
C0979,Customer 194,New
